input_text,output_line1,output_line2
3-90-P-107B REGENERATION WATER PUMP START/STOP,3-90-P-107B,PUMP TRIP
BACKWASH WATER PUMP 3-90-P-108A,3-90-H-103,NAOH STR STP
BACKWASH WATER PUMP 3-90-P-108B,3-90-P-104A,PUMP STR/STP
RIVER WATER INTAKE PUMP 3-91-P-001A,3-91-P-001A,RIVR WTR INT
RIVER WATER INTAKE PUMP 3-91-P-001B,3-91-P-001B,RIVR WTR INT
RAW WATER DOSING PUMP 3-91-P-201A,3-91-P-201A,RAW WTR PMP
RAW WATER DOSING PUMP 3-91-P-201B,3-91-P-201B,RAW WTR PMP
RAW WATER DOSING PUMP 3-91-P-202A,3-91-P-202A,RAW WTR PMP
RAW WATER DOSING PUMP 3-91-P-202B,3-91-P-202B,RAW WTR PMP
DE-AERATOR (DEMIN) FEED PUMP 3-92-P-001 A,3-92-P-001A,DE-AER PUMP
DE-AERATOR (DEMIN) FEED PUMP 3-92-P-001 B,3-92-P-001B,DE-AER PUMP
PORTABLE WATER CHLORINATION PUMP 3-92-P-101A,3-92-P-101A,WTR CHLORINT
PORTABLE WATER CHLORINATION PUMP 3-92-P-101B,3-92-P-101B,WTR CHLORINT
SYNLOOP COOLING WATER MAKE-UP PUMP 3-93-P-001A,3-93-P-001A,COOL WTR PMP
SYNLOOP COOLING WATER MAKE-UP PUMP 3-93-P-001B,3-93-P-001B,COOL WTR PMP
MULTIMEDIA FILTER FEED PUMP 3-93-P-003A,3-93-P-003A,MM FILTR PMP
MULTIMEDIA FILTER FEED PUMP 3-93-P-003B,3-93-P-003B,MM FILTR PMP
SERVICE WATER FEED PUMP 3-93-P-004 A,3-93-P-004 A,DEMI FED PMP
SERVICE WATER FEED PUMP 3-93-P-004 B,3-93-P-004 A,DEMI FED PMP
CLARIFIER FEED PUMP 3-93-P-005 A,3-93-P-005A,CLRF FED PMP
CLARIFIER FEED PUMP 3-93-P-005 B,3-93-P-005B,CLRF FED PMP
CAUSTIC SODA HEATER 3-96-H-003,3-96-H-003,NAOH HEATER
NAOCL UNLOADING / DISTRIBUTION PUMP 3-96-P-001 A,3-96-P-001A,NaOCl PMP
NAOCL UNLOADING / DISTRIBUTION PUMP 3-96-P-001 B,3-96-P-001B,NaOCl PMP
H2SO4 UNLOADING / DISTRIBUTION PUMP 3-96-P-002 A,3-96-P-002,H2SO4 PUMP
H2SO4 UNLOADING / DISTRIBUTION PUMP 3-96-P-002 B,3-96-P-002,H2SO4 PUMP
CAUSTIC SODA UNLOADING PUMP 3-96-P-003 A,3-96-P-003A,NAOH PMP
BFW PUMP 3-82-PM-001B+L3985-L548,3-82-PM-001B,BFW PUMP
3-82-P-201A PUMP STROKE CONTROL,3-82-P-201A,PUMP CTRL
3-82-P-201B PUMP STROKE CONTROL,3-82-P-201B,PUMP CTRL
3-82-P-301A PUMP STROKE CONTROL,3-82-P-301A,PUMP CTRL
3-82-P-301B PUMP STROKE CONTROL,3-82-P-301B,PUMP CTRL
GENERATOR EXCITATION CURRENT FROM GEP,GEN FROM GEP,EXCIT CURRENT
AVERAGE CURRENT (A),AVERAGE,CURRENT A
NEUTRAL CURRENT (A),NEUTRAL,CURRENT A
PHASE A CURRENT,PHASE A,CURRENT
PHASE B CURRENT,PHASE B,CURRENT
PHASE C CURRENT,PHASE C,CURRENT
GENERATOR EXCITATION CURRENT FROM GEP SIGNAL FAILURE,GEN FROM GEP,SIGNAL FAIL
GENERATOR ACTIVE POWER N1,GEN ACTIVE,POWER N1
GENERATOR ACTIVE POWER N2 (FROM PQMII),GEN ACTIVE,POWER N2
GENERATOR REACTIVE POWER,GE REACT,POWER
GENERATOR REACTIVE POWER (FROM PQMII),GE REACT,POWER
3 PHASE REAL POWER (high),3 PHASE,REAL POWER
3 PHASE REACTIVE POWER (high),3 PHASE,REACT POWER
3 PHASE APPARENT POWER (high),3 PHASE,APPAR POWER
3 PHASE POWER FACTOR,3 PHASE,POWER FACT
3 PHASE POSITIVE REAL ENERGY USED  (high),3 PHASE,POS REAL PW
3 PHASE NEGATIVE REAL ENERGY USED  (high),3 PHASE,NEG REAL PW
3 PHASE POSITIVE REACTIVE ENERGY USED  (high),3 PHASE,POS REACT PW
3 PHASE NEGATIVE REACTIVE ENERGY USED  (high),3 PHASE,NEG REACT PW
KW PID ACTUAL SETPOINT,SET POINT,KW
ELAPSED TIME FOR TRIP VALVE CLOSING,ELAPSED TIME,CLOSE VLV
CURRENT COOL DOWN TIME TIMER,CURRENT,COOL TIMER
STATUS TIME ELAPSED IN MAX_TIME_FOR_START,TIME ELAPSED,START
STOPPED USED FOR HOT/COLD DEFINITION,STOPPED,HOT/COLD
1ST WARM UP ELAPSED TIME,1ST WARM UP,ELAPSED TIME
2ND WARM UP ELAPSED TIME,2ND WARM UP,ELAPSED TIME
FIRST OUT MONTH,FIRST OUT,MONTH
GEAR HS KEYPHASOR,GEAR HS,KEYPHASOR
GEAR LS KEYPHASOR,GEAR LS,KEYPHASOR
DE-AERATOR STORAGE 3-82-DE-001,3-82-DE-001,DE-AER STRG
3-82-TK-201 LEVEL,3-82-TK-201,LEVEL
LEVEL ACROSS  BLOWDOWN DRUM 3-002-V,LVL 3-002-V,BLODOWN
LEVEL ACROSS  LP CONDENSATE FLASH DRUM 3-004-V,LVL LP COND,FLSH 3-004-V
STEAM TURBINE CONDENSATE TO HEADER,3-83-E-101,LEVEL COND
GENERATOR LEVEL SWITCH,GENERATOR,LVL SWITCH
CONDENSER HOTWELL LEVEL,CONDENSER,HOTWELL LVL
FIRST FLUSH STORMWATER BASIN 3-103-BS-87,3-103-BS-87,1ST FLUSH
EFFLUENT BASIN 3-102-BS-87,3-102-BS-87,EFFLUENT
DE-AERATOR TOWER 3-82-DE-001,3-82-DE-002,DE-AER TWR
3-90-TK-101A LEVEL,3-90-TK-101A,LEVEL
3-90-TK-101B LEVEL,3-90-TK-102,LEVEL
3-90-TK-102 LEVEL,3-90-TK-102,LEVEL
3-90-TK-103 LEVEL,3-90-TK-103,LEVEL
3-90-BS-001 LEVEL,3-90-BS-001,LEVEL
DEMINERALIZED WATER TANK 3-90-TK-001,3-90-TK-001,DEMI WTR TNK
RIVER WATER INTAKE BASIN 3-91-001-BS,RIVER INTAKE,3-91-001-BS
CLAIRFIED WATER BASIN 3-93-BS-001,3-93-BS-001,WATER BASIN
SERVICE WATER TANK 3-93-TK-002,3-93-TK-002,SERV WTR TNK
50% CAUSTIC SODA STORAGE TANK 3-96-TK-003,3-96-TK-003,NAOH TANK
NH3 HOLD UP VESSEL 3-973-D,3-973-D,NH3 HOLD UP
UTILITIES DE-AERATOR 3-82-DE-001,3-82-DE-001,DE-AER STRG
BOILER BLOWDOWN DRUM 3-82-V-002,LVL 3-002-V,BLODOWN
LP CONDENSATE FLASH DRUM 3-004-V,LVL LP COND,FLSH 3-004-V
DE-MINERALIZED WATER TANK 3-92-TK-001,3-92-TK-001,DEMI WTR TNK
AMMONIA FLARE KO DRUM,3-973-D,NH3 HOLD UP
LUBE OIL SYSTEM LEVEL,LUBE OIL,LEVEL
STEAM GLAND CONDENSER LEVEL,STEAM GLAND,COND LVL
RUNDOWN TANK LEVEL,RUNDOWN,TANK LEVEL
3-LIC-831100 CONTROLLER OPERATIVE MODE,CONTROLLER,OPER MODE
3-80-V-102 LEVEL,3-80-V-101,LEVEL
3-80-FT-101/A LEVEL,3-80-FT-101A,LEVEL
3-80-FT-101/B LEVEL,3-80-FT-101B,LEVEL
3-80-V-101 LEVEL,3-80-V-101,EVEL
UTILITIES DEAERATOR 3-82-DE-001,3-82-DE-001,DE-AER STRG
3-82-TK-301 LEVEL,3-82-TK-301,LEVEL
3-82-TK-401 LEVEL,3-82-TK-401,LEVEL
LP CONDENSATE FLASH DRUM 3-82-V-004,LVL LP COND,FLSH 3-004-V
3-83-E-101 RADIAL MAIN CONDENSER LEVEL,3-83-E-101,LEVEL COND
FIRST FLUSH STORMWATER BASIN 3-87-BS-103,3-103-BS-87,1ST FLUSH
EFFLUENT BASIN 3-87-BS-102,3-102-BS-87,EFFLUENT
AMMONIA COOLING TOWER BASIN 3-88-BS-001,MAKE-UP,WATER
3-88-TK-201 LEVEL,3-88-TK-201,LEVEL
3-88-TK-301 LEVEL,3-88-TK-301,LEVEL
3-88-TK-401 LEVEL,3-88-TK-401,LEVEL
3-88-TK-501 LEVEL,3-88-TK-501,LEVEL
3-88-TK-601 LEVEL,3-88-TK-601,LEVEL
3-88-TK-701 LEVEL,3-88-TK-701,LEVEL
RIVER WATER INTAKE BASIN 3-91-BS-001,RIVER INTAKE,3-91-001-BS
3-91-TK-201 LEVEL,3-91-TK-201,LEVEL
POTABLE WATER TANK 3-92-TK-001,DRINKABLE,WATER BL
3-92-TK-101 LEVEL,3-92-TK-101,LEVEL
HYPOCHLORITE STORAGE TANK 3-96-TK-001,NaCLO TANK,3-96-TK-001
TO DE-AERATOR OVERFLOW PIT 3-82-BS-001,3-82-DE-001,DE-AER STRG
COOLING TOWER MAKE-UP WATER,MAKE-UP,WATER
POTABLE WATER FROM BATTERY LIMIT,DRINKABLE,WATER BL
MCP IN AMMONIA COOLING TOWER,MCP IN NH3,COOL. TOWER
"MCP IN AUXILLIARY BOILER, BFW PUMPS, DEAREAT. PKG",MCP IN AUX,BFW PMP DEAR
MCP IN PLANT & INSTR. AIR,PLANT & INST,AIR
MCP IN DEMIN. POTABLE WATER & CHEM.,PLANT & INST,AIR
MCP IN RAW WATER (EXCLUDING RAW WATER PKG),MCP IN RAW,WATER ONLY
MCP IN WATER INTAKE (FROM CANAL),WATER,INTAKE
MCP IN NATURAL GAS LET DOWN STATION,WATER,INTAKE
MOTORIZED VALVE FOR BOILER VENT,MOTORZED VLV,BOILER VENT
MOTORIZED VALVE FOR SUPERHEATER VENT,MOTORZED VLV,SUPRHTR VENT
MOTORIZED VALVE FOR STEAM,MOTORZED VLV,STEAM
MOTORIZED VALVE FOR STEAM BYPASS,MOTORZED VLV,STEM BYPASS
FROM SYNLOOP/OSBL COOLING WATER PUMP 3-88-P-001A,3-88-P-001C,WTR PUMP
FROM SYNLOOP/OSBL COOLING WATER PUMP 3-88-P-001B,3-88-P-001B,SYNLOOP
FROM SYNLOOP/OSBL COOLING WATER PUMP 3-88-P-001C,3-88-P-001A,WTR PUMP
FROM EMERGENCY COOLING WATER PUMP 3-88-P-002,3-88-P-002,E-COOL PUMP
FROM RIVER WATER INTAKE PUMP 3-91-P-001A,3-91-P-001A,PUMP
FROM COOLING WATER MAKE-UP PUMP,COOL WATER,PUMP MAKING
STEAM TO PLANT STEAM HEADER,MOTORZED VLV,STEAM
CW CIRCULATING PUMP 3-88-P-001A DISCHARGE,3-88-P-001C,WTR PUMP
CW CIRCULATING PUMP 3-88-P-001B DISCHARGE LINE,3-88-P-001B,SYNLOOP
CW CIRCULATING PUMP 3-88-P-001C DISCHARGE LINE,3-88-P-001A,WTR PUMP
EMERGENCY CW PUMP 3-88-P-002 DISCHARGE LINE,3-88-P-002,E-COOL PUMP
COOLING WATER RECIRCULATION TO CT BASIN,COOL WATER,DISTRIBUTION
RAW WATER INTAKE PUMP 3-91-P-001A DISCHARGE LINE,3-91-P-001A,PUMP
RAW WATER INTAKE PUMP 3-91-P-001B DISCHARGE LINE,3-91-P-001A,PUMP
NH3 CW MAKE-UP PUMP 3-93-P-001A DISCHARGE LINE,COOL WATER,PUMP MAKING
NH3 CW MAKE-UP PUMP 3-93-P-001B DISCHARGE LINE,COOL WATER,PUMP MAKING
From Fuel Gas KO Drum,FROM FUEL,KO DRUM
TO MP STEAM HEADER,TO MP STEAM,HEADER
PRESSURE OF BLOWDOWN DRUM 3-002-V,TO LP STEAM,HEADER
MP STEAM FROM DISTRIBUTION,MP STEAM,DISTRIBUTION
LP STEAM TO ATM,LP STEAM->,ATM
1° cooler outlet pressure measure,1ST COOL,A
2°stage outlet pressure measure,2ST STAGE,OUT PRESS
2° cooler outlet pressure measure,2ND COOLER,OUT PRESS
Oil circuit pressure before the filter,OIL PRESS,BEFORE FILT
3-86-001-V LP NITROGEN RECEIVER,3-86-001-V,LP N2 RECVR
CW Make-Up Water from CW Make-Up Pumps,CW  MAKEUP,FROM PUMPS
Clarified Water from UF Pumps,CLAR WATER,UF PUMPS
FUEL GAS TO FLARE STACK,FUEL GAS->,FLARE STACK
BFW TO DISTRIBUTION,BFW->,DISTRIBUTION
FROM UTILITIES DE-AERATOR TO PUMP 3-82-M001 A,DEAER-> PMP,3-82-M001 A
FROM UTILITIES DE-AERATOR TO PUMP 3-82-M001 B,DEAER-> PMP,3-82-M001 B
FROM UTILITIES DE-BERATOR TO PUMP 3-82-M001 A,DEAER-> PMP,3-82-M001 C
INSTRUMENT AIR RECEIVER 3-84-002-VA,3-84-002-VA,AIR RECEIVER
TO PLANT AIR HEADER,TO PLANT AIR,HEADER
FROM BACK END FLARE KO DRUM 3-971-D,3-971-D BACK,FLARE DRUM
COOLING WATER SUPPLY TO CRITICAL USERS,COOL WATER,->CRIT USERS
NITROGEN TO DEMI WATER TANK 3-90-TK-001,N2 FROM,BLANKETING
NITROGEN TO  H2SO4 STORAGE TANK,N2 FROM,BLANKETING
NITROGEN FROM H2SO4 TANK 3-96-TK-002,3-96-TK-002,H2SO4
inlet filter clog measure,INLET FILTER,CLOG
3-90-FT-102A DP,3-90-FT-102A,DP
3-90-FT-102B DP,3-90-FT-102B,DP
3-90-FT-102C DP,3-90-FT-102C,DP
3-90-FT-102D DP,3-90-FT-102D,DP
FILTERED WATER FROM ACTIVATED CARBON FILTERS SKID,CARBON FILTR,WATER SKID
3-90-FT-103A DP,3-90-FT-103A,DP
3-90-FT-103B DP,3-90-FT-103B,DP
3-90-FT-103C DP,3-90-FT-103C,DP
3-90-FT-103D DP,3-90-FT-103D,DP
3-90-V-102A/D DP,SERVICE WTR,ANION EXCH
3-90-FT-104A DP,3-90-FT-104A,DP
3-90-FT-104B DP,3-90-FT-104B,DP
3-90-FT-104C DP,3-90-FT-104C,DP
3-90-FT-104D DP,3-90-FT-104D,DP
3-90-V-103A/B DP,3-90-V-103AB,DP
3-90-V-103C/D DP,3-90-V-103CD,DP
3-90-F-101A/B DP,3-90-F-101A,DP WITH 101B
Across Strainer to BFW Pumps 3-82-P-001A/B,3-82-P-001A/B,ACROSS STRN
Cooling Water Supply from CWS Header,CW SUPPLY,FROM HEADER
Cooling Water Supply to Sampling Skid,CW SUPPLY,TO SAMP SKID
Across Strainer to BFW Pumps 3-82-P-003A/B,3-82-P-001A/B,ACROSS STRN
From CWS Header across Strainer,CWS HDR,ACROSS STRN
CWS to Waste Water Collection Pond,CW WAST WTR,COLL POND
Across Strainer to Analyzer 3-AE-88200,3-AE-88200,ACROSS STRN
DP ACROSS 3-80-FT-101A/B,80-FT-101AB,DP ACROSS
BFW PUMP 3-82-P-001A SUCTION STRAINER,DEAER-> PMP,3-82-M001 A
Natural Gas Let Down Station,NAT GAS,LET DOWN ST
BOILER FEED WATER TO MOTOR 3-82-PM-001A,BFW->,3-82-PM-001A
BOILER FEED WATER TO MOTOR 3-82-PM-001B,BFW->,3-82-PM-001B
3-82-P-201A TO BFW PUMP SUCTION,3-82P-201A->,BFW PUMP
3-82-P-201B TO BFW PUMP SUCTION,3-82P-201B->,BFW PUMP
3-82-P-201A PRESSURE,3-82-P-201A,PRESSURE
3-82-P-201B PRESSURE,3-82-P-201B,PRESSURE
PRESSURE OF LP CONDENSATE PUMP 3-82-003-PA,3-82-003-PA,PRESSURE
PRESSURE OF LP CONDENSATE PUMP 3-82-003-PB,3-82-003-PB,PRESSURE
LUBE OIL PUMP DISCHARGE PRESSURE,LUBE OIL PMP,DISCH PRESS
LUBE OIL TANK PRESSURE,LUBE OIL TANK,PRESSURE
PRESSURE OF TURBINE CONDENSATE TRANSFER PUMP A,TRASF PMP,TURB PRESS
PRESSURE OF TURBINE CONDENSATE TRANSFER PUMP B,TURBINE COND,TRANS PUMP
LUBE OIL HEADER PRESSURE,LUBE OIL HDR,PRESSURE
UPSTEAM LET DOWN PRESSURE,LET DOWN,PRESSURE
TURBINE EXHAUST STEAM PRESSURE,TURB EXHST,STEAM PRESS
TURBINE INLET STEAM PRESSURE,TURB IN,STEAM PRESS
DOWNSTREAM WHEEL N1 PRESSURE,DOWNST WHEL,N1 PRESS
STEAM GLAND SUPPLY PRESSURE,STEAM GLAND,PRESSURE
CONTROLLED EXTRACTION PRESSURE,CONTROLLED,EXT PRESS
DOWNSTREAM WHEEL N3 PRESSURE,DOWNST WHEL,N3 PRESS
EXHAUST STEAM PRESSURE (LOW SCALE PT),EXHA STEAM,PRESSURE
CONTROL OIL HEADER PRESSURE,CTRL OIL HDR,PRESSURE
GENERATOR JACKING OIL PRESSURE D.E.,GEN JACK DE,PRESSURE
GENERATOR JACKING OIL PRESSURE N.D.E.,GEN JACK NDE,PRESSURE
Oil circuit pressure after the filter,OIL PRESS,AFTER FILT
dryers inlet,DRYERS,INLET
Dryer outlet pressure,DRYER OUT,PRESSURE
Dryer column pressure,DRYER COLUM,PRESSURE
FROM CPI SUMP TRANSFER PUMP 3-87-P-104A/B,3-87-104-BS,NH3 AREA
CWS TO SCREEN SPRAY SYSTEM 3-88-PU-008A,CWR PUMPS,WATER SUPPLY
3-90-V-101A INLET PRESSURE,3-90-V-101A,IN PRESSURE
3-90-V-101B  INLET PRESSURE,3-90V-101B,IN PRESSURE
3-90-V-101C  INLET PRESSURE,3-90V-101C,IN PRESSURE
3-90-V-101D INLET PRESSURE,3-90-V-101D,IN P
3-90-V-101A OUTLET PRESSURE,3-90-V-101A,OUT PRESSURE
3-90-V-101B  OUTLET PRESSURE,3-90V-101B,OUT PRESSURE
3-90-V-101C OUTLET PRESSURE,3-90V-101C P,OUT PRESSURE
3-90-V-101D OUTLET PRESSURE,3-90-V-101D,P.S.
3-90-P-103A OUTLET,3-90-P-103A,OUTLET
3-90-P-103B OUTLET,3-90-P-103B,OUTLET
3-90-P-103C OUTLET,3-90-P-103C,OUTLET
3-90-FT-103A INLET PRESSURE,3-90-FT-103A,IN PRESSURE
3-90-FT-103B INLET PRESSURE,3-90-FT-103B,IN PRESSURE
3-90-FT-103C INLET PRESSURE,3-90-FT-103C,IN PRESSURE
3-90-FT-103D INLET PRESSURE,3-90-FT-103D,IN PRESSURE
3-90-FT-103A OUTLET PRESSURE,3-90-FT-103A,OUT PRESSURE
3-90-FT-103B OUTLET PRESSURE,3-90-FT-103B,OUT PRESSURE
3-90-FT-103C OUTLET PRESSURE,3-90-FT-103C,OUT PRESSURE
3-90-FT-103D OUTLET PRESSURE,3-90-FT-103D,OUT PRESSURE
3-90-FT-104A INLET PRESSURE,3-90-FT-104A,IN PRESSURE
3-90-FT-104B INLET PRESSURE,3-90-FT-104B,IN PRESSURE
3-90-FT-104C INLET PRESSURE,3-90-FT-104C,IN PRESSURE
3-90-FT-104D INLET PRESSURE,3-90-FT-104D,IN PRESSURE
3-90-FT-104A OUTLET PRESSURE,3-90-FT-104A,OUT PRESSURE
3-90-FT-104B OUTLET PRESSURE,3-90-FT-104B,OUT PRESSURE
3-90-FT-104C OUTLET PRESSURE,3-90-FT-104C,OUT PRESSURE
3-90-FT-104D OUTLET PRESSURE,3-90-FT-104D,OUT PRESSURE
3-90-P107A OUTLET,3-90-P107A,OUTLET
3-90-P107B OUTLET,3-90-P107B,OUTLET
3-90-P-105A MEMBRANE RUPTURE DETECTION,3-90-P-105A,RUPTR DETECT
3-90-P-105B MEMBRANE RUPTURE DETECTION,3-90-P-105B,RUPTR DETECT
3-90-P-105A OUTLET,3-90-P-105A,OUTLET
3-90-P-105B OUTLET,3-90-P-105B,OUTLET
3-90-P-106A MEMBRANE RUPTURE DETECTION,90P106A,MEMB ROPT
3-90-P-106B MEMBRANE RUPTURE DETECTION,90P106B,MEMB ROPT
3-90-P-106A OUTLET,3-90-P-106A,OUTLET
3-90-P-106B OUTLET,3-90-P-106B,OUTLET
3-90-P-104A OUTLET,3-90-P-104A,OUTLET
3-90-P-104B OUTLET,3-90-P-104B,OUTLET
3-90-P-103A/B/C OUTLET TO 3-90-V-102A/B,3-90-P-103->,3-90-V-102
3-90-P-103A/B/C OUTLET TO 3-90-V-102C/D,3-90-P-103->,3-90-V-102
3-90-K-102A OUTLET,3-90-K-102A,OUTLET
3-90-K-102B OUTLET,3-90-K-102B,OUTLET
3-90-F-101A INLET PRESSURE,3-90-F-101A,IN PRESSURE
3-90-F-101B INLET PRESSURE,3-90-F-101B,IN PRESSURE
3-90-F-101A OUTLET PRESSURE,3-90-F-101A,OUT PRESSURE
3-90-F-101B OUTLET PRESSURE,3-90-F-101B,OUT PRESSURE
NITROGEN FOR NITROGEN BLANKETING,N2 FOR,BLANKETING
TO DE-AERATOR FEED PUMP 3-92-P-001 A,3-92-P-001A,DEAR FED PMP
DISCHARGE OF DE-AERATOR FEED PUMP 3-92-P-001 A,3-92-P-001A,DEAR PUMP
DISCHARGE OF DE-AERATOR FEED PUMP 3-92-P-001 B,3-92-P-001B,DEAR PUMP
TO DE-AERATOR FEED PUMP 3-92-P-001 B,3-92-P-001B,DEAR FED PMP
TO CLARIFIER FEED PUMP 3-93-P-005 A,3-93-P-005A,CLARF PMP
DISCHARGE OF CLARIFIER FEED PUMP 3-93-P-005 A,3-93-P-005A,DSCH FED PMP
DISCHARGE OF CLARIFIER FEED PUMP 3-93-P-005 B,3-93-P-005B,DSCH FED PMP
TO CLARIFIER FEED PUMP 3-93-P-005 B,3-93-P-005B,CLARF PMP
FROM SYNLOOP COOLING WATER MAKE-UP PUMP,SYNLOOP COOL,WTR MKUP PMP
TO SERVICE WATER FEED PUMP 3-93-P-004 A,WTR FED PMP,3-93-P-004A
DISCHARGE OF SERVICE WATER FEED PUMP 3-93-P-004 A,3-93-P-001A,DSCH SER WTR
TO SERVICE WATER FEED PUMP 3-93-P-004 B,WTR FED PMP,3-93-P-004B
DISCHARGE OF SERVICE WATER FEED PUMP 3-93-P-004 B,3-92-P-001B,DSCH SER WTR
SODIUM HYPOCHLORITE UNLOADING PUMP  DISCHARGE,UNLOAD,NaClO
SODIUM HYPOCHLORITE UNLOADING PUMP DISCHARGE,UNLOAD,NaClO
SULPHURIC ACID UNLOADING PUMP 3-96-P-002A DISCHARGE,UNLOAD,H2SO4 PMP
SULPHURIC ACID UNLOADING PUMP 3-96-P-002B DISCHARGE,UNLOAD,H2SO4 PMP
CAUSTIC SODA UNLOADING PUMP 3-96-P-003 B DISCHARGE,3-96-P-003 B,UNLOAD PUMP
CAUSTIC SODA UNLOADING PUMP 3-96-P-003 A DISCHARGE,3-96-P-003 A,UNLOAD PUMP
FLARE GAS INLET (AMMONIA BACK END FLARE),FLARE GAS IN,FLARE
INLET MP PID ACTUAL SETPOINT,INLET  MP STM,PRESSURE
LP PID OUTPUT,INLET  LP STM,PRESSURE
LP STEAM DEAERATOR (3-82-DE-001),DEAR TOWER,3-82-DE-001
LP STEAM 3-82-V-002-BOILER BLOW DOWN DRUM,3-002-V,BLDW DRUM
MP STEAM-SUPERHEATED STEAM,LP STEAM->,ATM
COOLING WATER,COOL WATER->,HEADER
INSTRUMENT AIR RECEIVER 3-84-V-002,3-84-002-VA,->VENT
LP NITROGEN RECEIVER (3-86-V-001),3-86-001-V,ATMOSPHERIC
3-90-P-105A PSV,90P106A,MEMB ROPT
3-90-P-105B PSV,90P106B,MEMB ROPT
3-90-P-106A PSV,90P106A,PSV
3-90-P-106B PSV,90P106B,PSV
Clarified Water from UF Feed Pumps,CLAR WATER,UF FEED PMPS
UTILITIES DEAERATOR (TOWER) 3-82-DE-001,3-82-DE-002,DE-AER TWR
BFW PUMP 3-82-P-001B DISCHARGE,DEAER-> PMP,3-82-M001 B
BFW PUMP 3-82-P-001B SUCTION,DEAER-> PMP,3-82-M001 C
PRESSURE FEED WATER,PRESSURE,FEED WATER
PRESSURE BOILER,PRESSURE,BOILER
STEAM PRESSURE,STEAM,PRESSURE
PRESSURE DUCT,PRESSURE,DUCT
PRESSURE STACK,PRESSURE,STACK
PRESSURE FORZED AIR,PRESSURE,FORZED AIR
PRESSURE INSTRUMENT AIR,PRESSURE,INSTR AIR
LP STEAM TO LP STEAM NETWORK,MP STEAM,DISTRIBUTION
MP STEAM FROM MP STEAM HEADER,MP STEAM,FROM HEADER
MP STEAM TO TURBINE BY PASS,MP STEAM TO,TURB BYPAS
PLANT AIR TO PLANT AIR HEADER,TO PLANT AIR,HEADER
LP NITROGEN TO DISTRIBUTION,TO LP N2,NETWORK
LP NITROGEN BUFFER VESSEL 3-86-V-001,3-86-001-V,LP N2 RECVR
COOLING WATER CIRCULATING PUMP 3-88-P-001A DISCHARGE,3-88-P-001C,WTR PUMP
COOLING WATER CIRCULATING PUMP 3-88-P-001B DISCHARGE,3-88-P-001B,SYNLOOP
COOLING WATER CIRCULATING PUMP 3-88-P-001C DISCHARGE,3-88-P-001A,WTR PUMP
EMERGENCY COOLING WATER PUMP 3-88-P-002 DISCHARGE,3-88-P-002,E-COOL PUMP
DEMINERALIZED WATER PUMPS 3-90-P-001A/B DISCH.,DEMI WATER->,DEAERETOR
DEMINERALIZED WATER PUMP 3-90-P-001A SUCTION,3-90-TK-001,DEMI WTR TNK
POTABLE WATER DISTRIBUTION PUMPS 3-92-P-001A/B,POTABLE WTR,DISTRIBUTION
CLARIFIERS FEED PUMPS 3-93-P-005A/B COMMON DISCH.,RAIN WTR->,RAW TRTMNT
DEMI PKG / SERVICE WATER FEED PUMPS 3-93-P-004A/B,SERVICE WTR,DISTRIBUTION
FLARE KO DRUM PRESSURE,3-973-D,NH3 HOLD UP
TO LP STEAM HEADER,TO LP STEAM,HEADER
LP STEAM TO ATMOSPHERE,LP STEAM->,ATM
HP NITROGEN FROM DISTRIBUTION,TO LP N2,NETWORK
CONTROLLED EXTRACTION VALVE POSITION,CTRL EXT,VALVE
VACUUM BREAKER CONTROL VALVE POSITION,VACUUM,BREAKER
CONTROL VALVE POSITION LVDT (FROM SPC),LVDT,VLV POSITION
GRID VALVE POSITION LVDT (FROM SPC),LVDT,VLV POSITION
STEAM GLAND SUPPLY CONTROL VALVE POSITION,LVDT,VLV POSITION
STEAM BY-PASS,STEAM,BY-PASS
TRIP SYSTEM: TRIP SOLENOID VALVE N1 COUNTER,TRIP VALVE,N1
TRIP SYSTEM: TRIP SOLENOID VALVE N2 COUNTER,TRIP VALVE,N2
CONTROL VALVE: TEST COUNTER,CTRL VALVE,COUNTER
LIVE VALUE FOR DCS COMMUNICATION FAULT,DCS COMM,FAIL
NUMBER OF COUPLING,COUPLING,NUMBER
NUMBER OF START,START,NUMBER
ACTUAL SPEED MEASUREMENT,ACTUAL,SPEED
ANALOG SPEED INDICATION (1ST OVERSPEED MODULE),SPEED,1ST OVERSPEED
ANALOG SPEED INDICATION (2ND OVERSPEED MODULE),SPEED,2ND OVERSPEED
ANALOG SPEED INDICATION (3RD OVERSPEED MODULE),SPEED,3RD OVERSPEED
MP PID OUTPUT,MP,OUTPUT
COMMON OUTLET TEMP,COMMON,TEMP OUT
3-82-P-001A PUMP BEARING TEMP(NDE),82P001A PMP,BR TEMP(NDE)
3-82-P-001B PUMP BEARING TEMP(NDE),82P001B PMP,BR TEMP(NDE)
3-82-P-001A PUMP BEARING TEMP(DE),82P001A PMP,BR TEMP(DE)
3-82-P-001B PUMP BEARING TEMP(DE),82P001B PMP,BR TEMP(DE)
3-82-P-001A MOTOR BEARING TEMP(NDE),82P001A MOTR,BR TEMP(DE)
3-82-P-001B MOTOR BEARING TEMP(NDE),82P001B MOTR,BR TEMP(DE)
3-82-P-001A MOTOR BEARING TEMP(DE),82P001A MOTR,BR TEMP(DE)
3-82-P-001B MOTOR BEARING TEMP(DE),82P001B MOTR,BR TEMP(DE)
